"","ALLSKY_SFC_LW_DWN_mean_FLOWERING","EVPTRNS_mean_COTYLEDON","FRUE_mean_COTYLEDON","FRUE_mean_TRUE_LEAVES","P_ETP_mean_GERMINATION","P_ETP_mean_FRUIT_DEVELOPMENT","PAR_TEMP_mean_TRUE_LEAVES","VPD.1_mean_GERMINATION","WS2M_mean_GERMINATION","WS2M_mean_TRUE_LEAVES"
"California_San Joaquin",26.3838846153846,2.187375,-0.103039351851852,0.190363425925926,-0.248875,-0.29975,0.701372171096703,0.75715179936559,2.125875,2.4155
"Florida_Jackson",33.5057596153846,5.37975,0.5735,0.780803240740741,-1.26625,-0.981541666666667,0.504328743496426,0.589440775430734,2.25775,2.1306875
"Michigan_Arenac",28.6348942307692,0.7469375,-1.75254166666667,-1.45694560185185,2.57725,-2.74066666666667,3.33466285198111,0.251306156587221,3.7365,3.6565
"Michigan_Berrien",29.7067692307692,0.7536875,-1.38456712962963,-1.15924884259259,2.34625,-0.613416666666667,1.00230766624921,0.275342947266375,3.965875,3.8599375
"Michigan_Sanilac",29.206625,0.50725,-1.59518634259259,-1.35018055555556,2.7655,-0.878041666666667,-0.0222781572673293,0.328345041959952,4.187,3.9763125
"Michigan_Tuscola",29.0544615384615,0.50725,-1.59518634259259,-1.35018055555556,2.7655,-0.878041666666667,-0.179398436338453,0.328345041959952,4.187,3.9763125
"North Carolina_Johnston",32.1021538461538,3.864,0.123170138888889,0.309935185185185,0.5335,-0.658791666666666,0.550077916510429,0.522191619404413,2.965,2.8656875
"North Carolina_Nash",32.0692211538462,3.9861875,0.0520474537037037,0.221914351851852,0.501625,-1.21666666666667,0.573515121869125,0.542163147718181,1.747375,1.663125
"North Carolina_Sampson",32.6045576923077,4.484375,0.183881944444445,0.386046296296296,-0.605375,-0.1125,0.55225166781559,0.504866094833028,2.71775,2.605
"Ohio_Sandusky",29.8847019230769,0.9255,-1.11974074074074,-0.904225694444444,2.95375,-0.986958333333334,0.839352176384418,0.340906871903067,3.93975,3.7169375
"Wisconsin_Waushara",28.3887403846154,0.77325,-1.70970023148148,-1.34100231481481,2.79325,-2.09241666666667,1.16629105642682,0.315042989126124,3.75925,3.65975
