"","EVPTRNS_mean_COTYLEDON","WS2M_mean_GERMINATION","ALLSKY_SFC_LW_DWN_mean_FLOWERING","FRUE_mean_TRUE_LEAVES","VPD.1_mean_GERMINATION"
"NC05",-1.24786477681316,-0.498068644901482,1.43769942057176,0.600204904574087,1.04565161196256
"NC06",0.389744395426408,0.158859687942362,0.145214274300505,-0.988950115219207,-0.0240917390950553
"NC07",0.0582700210125834,2.0847613842299,0.287725383481464,-0.450121140448999,-0.131540309032989
"NC08",0.60803239808917,1.97663342882393,-2.17779918171283,-0.0844871932835005,-0.212821724569749
"NC09",1.34374381447107,0.889233424458187,-0.331744871455423,-1.22099240663164,-1.21417107422268
"NC10",-0.336983975578426,-0.281812734089533,-1.66935395916933,1.08883242206757,1.14389314149429
"NC11",-1.9754914523557,-1.28556658427329,0.735944331239435,0.894720120597554,0.93442178128979
"NC12",-1.13557670959981,-0.667401103367442,0.47920466441054,0.17572369360087,1.40746814451566
"NC13",-0.867881957363169,-0.355258137761515,0.758094420142324,1.08883242206757,1.40596245877472
"NC14",1.61323517578312,-0.542951947145472,0.0412369974671261,-0.648695793676942,-0.574055558173971
"NC15",0.620608661617065,-0.493988344697483,0.419802153261893,0.329674829249501,-1.38094307126787
"NC16",0.31518511879674,-0.267531683375537,-1.19514069220301,-2.40240003454395,-1.52538992421651
"NC17",0.450829103990473,0.791306219562211,0.711780597890836,0.00726991473896311,-0.461189845433663
"NC18",-0.530119451185397,-0.804091160201409,0.756080775696607,1.08883242206757,0.222631267921574
"NC19",0.694269633709026,-0.704123805203433,-0.398744313922005,0.521555954840548,-0.635825159946111
